Date,SampleID,TA,Mass,Salinity
20231103,BT 1/2,1434.258654,60.255,35.6
20231103,BT 1/2,1437.435254,60.227,35.6
20231103,BT 3/4,1073.527868,60.065,35.16
20231103,BT 3/4,1103.92356,60.31,35.16
20231116,JUNK1,2081.30269,60.488,35
20231116,CRM2,2235.375474,59.805,33.532
20231116,JUNK1,2098.888506,59.691,35
20231116,BT 1/2,1380.05476,60.251,35.6
20231116,BT 1/2,1381.153871,60.309,35.6
20231116,BT 3/4,2109.637046,60.315,35.16
20231116,BT 3/4,2107.755696,59.914,35.16
20240201,CRM1,2206.98181,59.959,33.519
20240201,JUNK1,2903.49316,60.308,33.519
20240201,BT 1/2,2787.41177,59.816,34.68
20240201,BT 1/2,2748.08745,60.35,34.68
20240201,BT 3/4,2788.88522,60.244,34.68
20240201,BT 3/4,2788.01874,60.245,34.68
20240201,CRM1,2230.95959,59.959,33.519
20240215,JUNK1,2844.63649,59.995,35
20240215,BT 1/2,2553.63083,60.402,35.73
20240215,BT 1/2,2562.02422,60.239,35.73
20240215,BT 3/4,2596.02229,60.193,35.76
20240215,BT 3/4,2576.13171,60.199,35.76
20240229,CRM,2223.31187,59.888,33.623
20240229,JUNK1,2865.16495,59.996,35
20240229,BT 1/2,2601.778267,59.747,35.39
20240229,BT 1/2,2638.342208,59.608,35.39
20240229,BT 3/4,2629.596045,59.837,35.4
20240229,BT 3/4,2579.6514,60.318,35.4
20240320,BT 1/2,2428.52875,60.041,34.69
20240320,BT 1/2,2425.638908,60.284,34.69
20240320,BT 3/4,2426.998355,59.671,34.68
20240320,BT 3/4,2423.191644,60.024,34.68
20240404,BT 1/2,2079.59422,59.51,34.39
20240404,BT 1/2,2085.156158,59.991,34.39
20240404,BT 3/4,2085.634336,59.695,34.4
20240404,BT 3/4,2081.594418,60.142,34.4
20240430,BT 1/2,2145.07657,60.346,35.43
20240430,BT 1/2,2150.24427,60.089,35.43
20240430,BT 3/4,2151.06052,60.277,35.41
20240430,BT 3/4,2150.77077,59.717,35.41
20240515,BT 1/2,2652.21977,60.035,35.94
20240515,BT 1/2,2655.22021,59.974,35.94
20240515,BT 3/4,2652.86482,60.102,35.91
20240515,BT 3/4,2657.38663,60.257,35.91
20240601,BT 1/2,2710.63238,60.189,35.24
20240601,BT 1/2,2710.908383,59.742,35.24
20240601,BT 3/4,2704.42352,60.259,35.23
20240601,BT 3/4,2707.815819,60.496,35.23
20240613,BT 1/2,2437.49378,60.189,35.24
20240613,BT 1/2,2456.03855,59.742,35.24
20240613,BT 3/4,2492.27063,60.259,35.23
20240613,BT 3/4,2441.50968,60.496,35.23
20240711,BT 1/2,1640.96139,59.786,34.2
20240711,BT 1/2,1633.87013,59.554,34.2
20240711,BT 3/4,1635.94524,60.054,34.19
20240711,BT 3/4,1641.42739,59.544,34.19
20240725,BT 1/2,1935.085131,59.734,35
20240725,BT 1/2,1931.019747,59.989,35
20240725,BT 3/4,1927.118282,59.623,35
20240725,BT 3/4,1923.119819,60.293,35
20240806,BT 1/2,1281.51238,59.935,35.9
20240806,BT 1/2,1286.16628,60.134,35.9
20240806,BT 3/4,1283.03803,59.756,35.88
20240806,BT 3/4,1284.22369,60.882,35.88
20240827,BT 1/2,1903.466069,59.893,35.22
20240827,BT 1/2,1908.672303,59.866,35.22
20240827,BT 3/4,1908.523783,60.243,35.2
20240827,BT 3/4,1907.500747,59.952,35.2
20240917,BT 1/2,2197.163481,60.378,34.51
20240917,BT 3/4,2201.074571,60.488,34.49
20240917,MIXING,2892.134206,60.049,33.81
20240917,QT,1786.036217,60.2,34.81
20240917,QT,1850.650335,59.551,34.2
20240917,QT,1838.75991,59.808,34.2
20240926,QT,2533.863557,59.944,35.38
20240926,QT,2532.238646,59.961,35.38
20240926,BT 1/2,2410.905694,60.128,35.77
20240926,BT 3/4,2407.408519,60.147,35.18
20240926,QT,2532.548038,60.391,35.39
20240926,QT,2534.97524,60.224,35.39
20240926,JUNK2,805.4913605,59.952,35
20240926,QT1,2533.863557,59.944,35.38
20240926,QT2,2532.238646,59.961,35.38
20241001,BT 1/2,2369.546558,60.275,34.21
20241001,BT 3/4,2377.265504,59.79,34.23
20241001,QT,2472.133486,59.797,35.23
20241001,QT,2466.857543,59.629,35.23
20241031,BT 1/2,2906.154515,60.038,36.14
20241031,BT 1/2,2920.158018,60.189,36.14
20241031,BT 3/4,2910.178,60.284,36.14
20241031,BT 3/4,2911.259679,60.079,36.14
20241121,BT 1/2,2913.471728,60.372,34.91
20241121,BT 1/2,2885.703709,60.409,34.91
20241121,BT 3/4,2878.767108,59.906,34.95
20241121,BT 3/4,2888.992025,60.344,34.95
20241213,BT 1/2,3209.686679,59.971,35.3
20241213,BT 1/2,3210.236382,60.221,35.3
20241213,BT 3/4,3192.624815,60.057,35.14
20241213,BT 3/4,3194.244959,60.318,35.14
20250130,BT 1/2,2928.271369,60.092,34.58
20250130,BT 1/2,2937.86342,60.35,34.58
20250130,BT 3/4,2933.442396,59.922,34.59
20250130,BT 3/4,2976.574555,59.571,34.59
20250214,BT 1/2,2431.3992,60.466,34.4
20250214,BT 1/2,2431.458133,60.13,34.4
20250214,BT 3/4,2427.040335,60.098,34.3
20250214,BT 3/4,2457.149495,59.875,34.3
20250227,BT 1/2,2258.703514,59.766,33.53
20250227,BT 1/2,2216.305216,60.073,33.53
20250227,BT 3/4,2228.66113,60.417,33.47
20250227,BT 3/4,2256.611634,60.428,33.47
20250328,BT 1/2,1665.103448,59.875,33.68
20250328,BT 1/2,1697.366065,60.421,33.68
20250328,BT 3/4,1660.177636,59.999,33.68
20250328,BT 3/4,1631.51763,59.936,33.68
20250502,BT 1/2,1344.77507,59.808,34.66
20250502,BT 1/2,1343.97871,59.714,34.66
20250502,BT 3/4,1374.23261,60.392,34.64
20250502,BT 3/4,1337.97047,60.091,34.64
