Date,Tank_ID,Timepoint,Time,Initials,Coral Species,Dark Adapt Mins,Mem #,Fluorescence yield (F),Max fluorescence yield (M = Fm),YIELD (Y),Fv/Fm (Y/1000),Notes,,PACU= Pocillopora acuta
4/7/2026,BT1/2,4/7/2026,12:25 PM,MM;PP,PACU,30,3987,124,414,700,0.7,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 200,,
4/7/2026,BT1/2,4/7/2026,12:25,MM;PP,PACU,30,3988,276,822,664,0.664,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 201,,
4/7/2026,BT1/2,4/7/2026,12:25 PM,MM;PP,PACU,30,3989,139,507,725,0.725,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 202,,
4/7/2026,BT1/2,4/7/2026,12:25,MM;PP,PACU,30,3990,117,312,625,0.625,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 203,,
4/7/2026,BT1/2,4/7/2026,12:25 PM,MM;PP,PACU,30,3991,178,567,686,0.686,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 204,,
4/7/2026,BT1/2,4/7/2026,12:25,MM;PP,PACU,30,3992,295,957,691,0.691,Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 205,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,PACU,30,3993,138,470,706,0.706,Took off the plastic thingy as F<150. Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 206,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,PACU,30,3994,414,1284,677,0.677,Took off the plastic thingy as F<150. Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 207,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,PACU,30,3995,402,1061,621,0.621,Took off the plastic thingy as F<150. Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 208,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,PACU,30,3996,318,709,551,0.551,Took off the plastic thingy as F<150. Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 209,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,PACU,30,3997,424,730,419,0.419,Took off the plastic thingy as F<150. Mean intensity changed to 12 instead of 11 as the Florescence yield was not rising beyond 210,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,4,506,1324,617,0.617,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,ELAM,30,5,323,1043,690,0.69,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,6,511,965,470,0.47,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,ELAM,30,7,397,470,155,0.155,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,8,301,463,349,0.349,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,ELAM,30,9,298,954,687,0.687,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,10,415,1030,597,0.597,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,ELAM,30,11,241,625,614,0.614,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,12,287,511,438,0.438,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25 PM,MM;PP,ELAM,30,13,214,630,660,0.66,Mean intensity: 10; Gain: 3,,
4/7/2026,BT3/4,4/7/2026,12:25,MM;PP,ELAM,30,14,390,700,442,0.442,Mean intensity: 10; Gain: 3,,
4/7/2026,DT,4/7/2026,12:25 PM,MM;PP,ELAM,30,15,406,1408,711,0.711,Mean intensity: 10; Gain: 3,,
4/7/2026,DT,4/7/2026,12:25,MM;PP,ELAM,30,16,318,1055,698,0.698,Mean intensity: 10; Gain: 3,,
4/7/2026,DT,4/7/2026,12:25 PM,MM;PP,PACU,30,18,235,770,694,0.694,Mean intensity: 11; Gain: 4,,
4/7/2026,DT,4/7/2026,12:25,MM;PP,PACU,30,19,279,949,706,0.706,Mean intensity: 11; Gain: 4,,
